epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.95195,1.76078,4.1563,1.35226,0.0131,0.05318,0.01174,0.00517,1.77331,4.05437,1.31303,0.00010766,0.00010766,0.00010766
2,11.0396,1.70093,2.6031,1.21977,0.02631,0.13945,0.08197,0.04409,1.58969,3.51818,1.1452,0.000220802,0.000220802,0.000220802
3,16.1245,1.59837,2.05046,1.16946,0.02553,0.15695,0.09161,0.05266,1.57764,3.28049,1.18193,0.00033166,0.00033166,0.00033166
4,21.0766,1.52918,1.86374,1.16763,0.02698,0.18101,0.08987,0.05168,1.55079,3.07019,1.22265,0.000440235,0.000440235,0.000440235
5,26.1704,1.52457,1.73206,1.15001,0.79152,0.1234,0.1649,0.09852,1.53234,2.43339,1.2099,0.000546525,0.000546525,0.000546525
6,31.0637,1.52539,1.70067,1.16015,0.75429,0.12807,0.2089,0.1215,1.49209,2.24284,1.17069,0.000650532,0.000650532,0.000650532
7,36.1249,1.48643,1.56732,1.15741,0.53428,0.18734,0.24297,0.14447,1.4438,1.93618,1.16182,0.000723321,0.000723321,0.000723321
8,41.08,1.43169,1.47782,1.14207,0.4514,0.26994,0.32547,0.19369,1.47495,1.70623,1.19229,0.000715708,0.000715708,0.000715708
9,46.1661,1.43072,1.36778,1.14013,0.47373,0.33632,0.38785,0.24175,1.4229,1.49638,1.17622,0.000708095,0.000708095,0.000708095
10,51.1416,1.38277,1.29333,1.10622,0.48007,0.34994,0.43345,0.25631,1.43098,1.50289,1.20064,0.000700482,0.000700482,0.000700482
11,56.0078,1.33621,1.23826,1.07879,0.71865,0.40788,0.50053,0.29181,1.39209,1.34753,1.1672,0.000692869,0.000692869,0.000692869
12,61.0468,1.35029,1.21751,1.07675,0.53537,0.52181,0.54568,0.32893,1.34973,1.24935,1.13907,0.000685256,0.000685256,0.000685256
13,66.1908,1.32695,1.23792,1.09149,0.6273,0.55788,0.55416,0.34361,1.31043,1.25445,1.1172,0.000677643,0.000677643,0.000677643
14,71.4859,1.29858,1.14069,1.06604,0.58862,0.49658,0.58492,0.35135,1.29963,1.07556,1.11779,0.00067003,0.00067003,0.00067003
15,76.7207,1.29267,1.12042,1.05394,0.63806,0.59517,0.60759,0.38993,1.30269,1.04529,1.14735,0.000662417,0.000662417,0.000662417
16,82.0193,1.28105,1.09935,1.05661,0.65396,0.55422,0.62884,0.39924,1.30418,1.06173,1.13706,0.000654804,0.000654804,0.000654804
17,87.033,1.2831,1.11804,1.05837,0.64191,0.57987,0.62845,0.38015,1.37976,1.07598,1.17537,0.00064719,0.00064719,0.00064719
18,92.148,1.25798,1.03899,1.04248,0.65098,0.60993,0.65226,0.40259,1.27278,1.00947,1.1016,0.000639577,0.000639577,0.000639577
19,97.266,1.25958,1.08236,1.0352,0.65797,0.64058,0.66123,0.41788,1.2702,1.06369,1.12967,0.000631964,0.000631964,0.000631964
20,102.026,1.22888,1.01566,1.03559,0.61477,0.65369,0.67301,0.41972,1.28201,1.04687,1.11998,0.000624351,0.000624351,0.000624351
21,106.704,1.20407,1.00846,1.03621,0.64533,0.63476,0.66265,0.41726,1.24605,1.02637,1.10531,0.000616738,0.000616738,0.000616738
22,111.472,1.19798,0.98335,1.02838,0.74487,0.60369,0.68467,0.42242,1.24645,0.98938,1.1043,0.000609125,0.000609125,0.000609125
23,116.192,1.17377,0.94064,1.00897,0.63031,0.68002,0.68502,0.42261,1.2865,0.97507,1.13698,0.000601512,0.000601512,0.000601512
24,120.903,1.20372,0.95152,1.02505,0.61889,0.6821,0.69286,0.43952,1.2904,0.97903,1.12523,0.000593899,0.000593899,0.000593899
25,125.77,1.18551,0.92723,1.0158,0.68339,0.69745,0.71703,0.44586,1.30937,0.96287,1.12879,0.000586286,0.000586286,0.000586286
26,130.498,1.17845,0.91724,1.00959,0.74065,0.7023,0.72582,0.44249,1.28522,0.9289,1.11897,0.000578672,0.000578672,0.000578672
27,135.11,1.15913,0.91827,1.00473,0.77312,0.59057,0.68802,0.4208,1.25918,0.9441,1.11705,0.000571059,0.000571059,0.000571059
28,139.804,1.1703,0.92325,1.00947,0.70718,0.71618,0.71419,0.45084,1.22729,0.93303,1.08805,0.000563446,0.000563446,0.000563446
29,144.29,1.15657,0.90649,1.00127,0.72233,0.69793,0.68797,0.43726,1.21873,0.92156,1.08527,0.000555833,0.000555833,0.000555833
