epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.45163,1.85353,4.15733,1.407,0.01386,0.06086,0.01424,0.00614,1.6504,4.02809,1.23849,0.00010766,0.00010766,0.00010766
2,11.909,1.79999,2.65668,1.28253,0.02359,0.11937,0.07658,0.04074,1.56787,3.55306,1.13812,0.000220802,0.000220802,0.000220802
3,17.1026,1.66218,2.08497,1.20075,0.02247,0.15318,0.09105,0.05223,1.56008,3.2732,1.18547,0.00033166,0.00033166,0.00033166
4,22.4696,1.62521,1.91826,1.21708,0.02623,0.22605,0.10118,0.0569,1.57988,3.00881,1.22186,0.000440235,0.000440235,0.000440235
5,28.3537,1.60509,1.77232,1.18906,0.71211,0.14931,0.18147,0.0971,1.60898,2.38449,1.22265,0.000546525,0.000546525,0.000546525
6,34.3579,1.59686,1.75693,1.20245,0.65108,0.21017,0.19953,0.11614,1.57508,2.20249,1.18902,0.000650532,0.000650532,0.000650532
7,39.3439,1.54554,1.62583,1.1949,0.65175,0.2654,0.26114,0.14942,1.47452,1.88481,1.14608,0.000723321,0.000723321,0.000723321
8,44.0429,1.49173,1.51654,1.17179,0.49124,0.28263,0.31329,0.17778,1.45848,1.60178,1.1545,0.000715708,0.000715708,0.000715708
9,48.5875,1.5264,1.44412,1.18457,0.5599,0.29175,0.38182,0.21501,1.44825,1.52147,1.17989,0.000708095,0.000708095,0.000708095
10,53.2068,1.53316,1.39984,1.17137,0.43477,0.37146,0.4229,0.24207,1.43985,1.4059,1.18728,0.000700482,0.000700482,0.000700482
11,57.8787,1.55537,1.41032,1.15144,0.45433,0.47391,0.48309,0.27895,1.40955,1.23782,1.14,0.000692869,0.000692869,0.000692869
12,62.5669,1.47782,1.37641,1.12712,0.48552,0.46604,0.53469,0.3186,1.38557,1.2206,1.16924,0.000685256,0.000685256,0.000685256
13,67.2798,1.46626,1.3675,1.18397,0.5015,0.53931,0.55214,0.28973,1.43995,1.31226,1.19223,0.000677643,0.000677643,0.000677643
14,72.1166,1.37588,1.233,1.10538,0.7907,0.42954,0.56031,0.34456,1.36109,1.22643,1.13698,0.00067003,0.00067003,0.00067003
15,76.9109,1.37374,1.17443,1.0865,0.50808,0.5406,0.56569,0.34346,1.33171,1.13093,1.13394,0.000662417,0.000662417,0.000662417
16,81.6982,1.36612,1.151,1.09921,0.68453,0.53481,0.59287,0.36568,1.32637,1.1076,1.12959,0.000654804,0.000654804,0.000654804
17,86.4745,1.33918,1.13046,1.08927,0.77599,0.49631,0.60998,0.38114,1.31412,1.08069,1.11183,0.00064719,0.00064719,0.00064719
18,91.2374,1.31272,1.08652,1.07975,0.62788,0.58821,0.6481,0.39175,1.28252,1.07486,1.10479,0.000639577,0.000639577,0.000639577
19,96.3714,1.36357,1.12726,1.08794,0.6566,0.6549,0.66503,0.4057,1.30713,1.02265,1.10688,0.000631964,0.000631964,0.000631964
20,101.071,1.33028,1.08547,1.07523,0.66574,0.58578,0.67286,0.41923,1.30282,1.0342,1.11463,0.000624351,0.000624351,0.000624351
