epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.81185,1.79399,4.27746,1.3617,0.01525,0.01758,0.01055,0.00638,1.73545,4.07047,1.3057,0.00010766,0.00010766,0.00010766
2,13.3077,1.71961,2.86794,1.19879,0.01993,0.10387,0.08058,0.03955,1.50613,3.52615,1.12753,0.000220802,0.000220802,0.000220802
3,19.8471,1.63448,2.16624,1.17827,0.02557,0.1427,0.08619,0.04977,1.55326,3.33779,1.17043,0.00033166,0.00033166,0.00033166
4,26.1913,1.53884,1.82578,1.16525,0.02501,0.26134,0.1562,0.09058,1.53172,3.05867,1.21056,0.000440235,0.000440235,0.000440235
5,32.5335,1.56475,1.73872,1.16702,0.92718,0.13227,0.20253,0.10869,1.51769,2.33608,1.19473,0.000546525,0.000546525,0.000546525
6,38.8528,1.53494,1.61366,1.15603,0.76589,0.26033,0.27129,0.15344,1.59305,1.78557,1.23288,0.000650532,0.000650532,0.000650532
7,45.2513,1.46255,1.50482,1.13089,0.57329,0.249,0.34898,0.19936,1.44025,1.59502,1.17507,0.000723321,0.000723321,0.000723321
8,51.3787,1.38764,1.37351,1.11254,0.44758,0.44798,0.40226,0.23879,1.43499,1.53773,1.18451,0.000715708,0.000715708,0.000715708
9,57.8014,1.41556,1.37228,1.11546,0.47117,0.4435,0.459,0.27196,1.4171,1.43207,1.18868,0.000708095,0.000708095,0.000708095
10,64.1752,1.38181,1.2639,1.1035,0.49719,0.43295,0.50783,0.31271,1.3763,1.34884,1.15676,0.000700482,0.000700482,0.000700482
11,70.452,1.36647,1.2239,1.11522,0.73826,0.431,0.53845,0.34014,1.40287,1.2484,1.16442,0.000692869,0.000692869,0.000692869
12,76.7873,1.35721,1.21104,1.09347,0.47949,0.52972,0.58354,0.35881,1.34201,1.16229,1.14693,0.000685256,0.000685256,0.000685256
13,83.0622,1.34974,1.16282,1.09372,0.56621,0.60521,0.61275,0.38011,1.30725,1.14327,1.14494,0.000677643,0.000677643,0.000677643
14,89.3362,1.34063,1.17477,1.08543,0.58282,0.58087,0.63824,0.39935,1.2786,1.13889,1.12345,0.00067003,0.00067003,0.00067003
15,95.5809,1.30494,1.11151,1.07145,0.55269,0.59847,0.61504,0.38664,1.31637,1.10071,1.1312,0.000662417,0.000662417,0.000662417
16,101.89,1.2743,1.10299,1.05836,0.66712,0.61002,0.64995,0.40413,1.30729,1.06272,1.14421,0.000654804,0.000654804,0.000654804
17,108.253,1.27463,1.07121,1.05303,0.62766,0.59286,0.6375,0.40128,1.28648,1.09206,1.13703,0.00064719,0.00064719,0.00064719
18,114.386,1.23209,1.01218,1.05004,0.61247,0.56595,0.6161,0.36744,1.4004,1.14767,1.20099,0.000639577,0.000639577,0.000639577
19,120.502,1.23907,1.03482,1.0572,0.6323,0.60769,0.64773,0.40642,1.3108,1.06367,1.15672,0.000631964,0.000631964,0.000631964
20,126.661,1.20267,0.99717,1.02949,0.62263,0.60579,0.6726,0.43129,1.3376,1.01065,1.1769,0.000624351,0.000624351,0.000624351
21,132.935,1.17619,0.97172,1.03353,0.5624,0.68635,0.67501,0.42934,1.24414,1.01287,1.11969,0.000616738,0.000616738,0.000616738
22,139.04,1.20827,0.9667,1.04129,0.66576,0.66509,0.68217,0.41392,1.28509,1.02133,1.13035,0.000609125,0.000609125,0.000609125
23,145.391,1.18565,0.95292,1.02013,0.66209,0.63487,0.67647,0.42932,1.26041,0.94004,1.12351,0.000601512,0.000601512,0.000601512
24,151.627,1.19425,0.95257,1.0333,0.65379,0.65904,0.71147,0.45195,1.25621,0.98578,1.1149,0.000593899,0.000593899,0.000593899
25,157.806,1.1528,0.91282,1.02087,0.67125,0.69827,0.72979,0.46342,1.23041,0.93205,1.10982,0.000586286,0.000586286,0.000586286
26,164.012,1.15057,0.90954,1.00428,0.68716,0.73433,0.74127,0.46488,1.24256,0.92556,1.11112,0.000578672,0.000578672,0.000578672
27,170.277,1.16384,0.91933,1.01432,0.71994,0.66117,0.72928,0.46747,1.27798,0.89422,1.14947,0.000571059,0.000571059,0.000571059
28,176.468,1.14573,0.90827,1.01305,0.75073,0.68045,0.71808,0.46666,1.24561,0.93611,1.10952,0.000563446,0.000563446,0.000563446
29,182.705,1.1689,0.90206,1.01604,0.72284,0.68508,0.72281,0.44373,1.26078,0.91729,1.11585,0.000555833,0.000555833,0.000555833
30,189.01,1.17349,0.89666,1.01153,0.72635,0.66781,0.72074,0.44815,1.24845,0.91871,1.10647,0.00054822,0.00054822,0.00054822
