epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.53567,1.80582,4.50843,1.41038,0.00517,0.02091,0.00702,0.00357,1.49788,4.09037,1.17499,5.383e-05,5.383e-05,5.383e-05
2,6.73189,1.72055,3.98278,1.27262,0.01934,0.02467,0.01342,0.00726,1.78302,4.07747,1.33823,0.000114208,0.000114208,0.000114208
3,9.84477,1.78788,3.07834,1.21731,0.02016,0.0625,0.03637,0.0163,1.66755,3.87177,1.21238,0.000173368,0.000173368,0.000173368
4,12.8846,1.70562,2.43892,1.17436,0.02151,0.10726,0.08211,0.04067,1.53972,3.49857,1.13237,0.00023131,0.00023131,0.00023131
5,16.0126,1.6494,2.20733,1.18738,0.01989,0.1035,0.08019,0.04665,1.46835,3.35093,1.14251,0.000288034,0.000288034,0.000288034
6,19.0165,1.60432,2.07916,1.20364,0.02032,0.12498,0.0798,0.04606,1.49628,3.30302,1.18797,0.000343539,0.000343539,0.000343539
7,22.0003,1.5519,1.92336,1.18337,0.02083,0.14964,0.08032,0.04398,1.52309,3.3009,1.22285,0.000397827,0.000397827,0.000397827
8,25.0064,1.53702,1.75147,1.15406,0.78018,0.17163,0.14804,0.08684,1.53207,2.89297,1.20467,0.000450896,0.000450896,0.000450896
9,28.0877,1.50541,1.64702,1.13006,0.94449,0.11418,0.17485,0.09786,1.52631,2.5601,1.21088,0.000502748,0.000502748,0.000502748
10,31.0498,1.47202,1.63895,1.14128,0.8934,0.14992,0.22204,0.12039,1.4977,2.25727,1.22113,0.000553381,0.000553381,0.000553381
11,34.0315,1.46174,1.54227,1.12478,0.80917,0.22855,0.2733,0.14306,1.46729,1.9727,1.18165,0.000602796,0.000602796,0.000602796
12,37.042,1.46438,1.57553,1.14079,0.75369,0.267,0.29118,0.16734,1.48492,1.99716,1.21271,0.000650993,0.000650993,0.000650993
13,39.9883,1.47194,1.48988,1.14042,0.53287,0.33169,0.32465,0.18534,1.50811,1.78579,1.21734,0.000677643,0.000677643,0.000677643
14,43.0213,1.46101,1.45823,1.14753,0.40543,0.36513,0.34698,0.20144,1.41859,1.76779,1.19391,0.00067003,0.00067003,0.00067003
15,45.9392,1.39881,1.41702,1.11731,0.40134,0.38148,0.36735,0.21643,1.42178,1.57592,1.17219,0.000662417,0.000662417,0.000662417
16,48.8251,1.38226,1.35255,1.1143,0.39219,0.41271,0.37396,0.21551,1.41968,1.49781,1.17743,0.000654804,0.000654804,0.000654804
17,51.7161,1.37505,1.32232,1.11209,0.51321,0.38994,0.38784,0.22372,1.4039,1.51608,1.16882,0.00064719,0.00064719,0.00064719
18,54.7131,1.38358,1.3107,1.10269,0.71288,0.38972,0.4351,0.25072,1.39772,1.40882,1.17656,0.000639577,0.000639577,0.000639577
19,57.5419,1.32246,1.24324,1.07324,0.43255,0.40009,0.45821,0.26977,1.41658,1.39929,1.21641,0.000631964,0.000631964,0.000631964
20,60.4529,1.34109,1.23308,1.10702,0.55478,0.41712,0.48542,0.28918,1.36261,1.36223,1.17986,0.000624351,0.000624351,0.000624351
21,63.3392,1.32141,1.1709,1.07503,0.62485,0.43258,0.51454,0.30697,1.36494,1.30063,1.17375,0.000616738,0.000616738,0.000616738
22,66.4098,1.30528,1.18799,1.08556,0.50594,0.51308,0.53909,0.31938,1.37595,1.25276,1.17815,0.000609125,0.000609125,0.000609125
23,69.3377,1.32494,1.22426,1.09152,0.58,0.55325,0.55382,0.32505,1.48258,1.31205,1.22956,0.000601512,0.000601512,0.000601512
24,72.2266,1.34903,1.19457,1.1041,0.63508,0.50989,0.5826,0.34962,1.34037,1.19478,1.17071,0.000593899,0.000593899,0.000593899
25,75.2478,1.34632,1.15506,1.0964,0.62555,0.52773,0.58622,0.36653,1.31519,1.16012,1.1518,0.000586286,0.000586286,0.000586286
26,78.2016,1.30964,1.13184,1.08593,0.60544,0.52404,0.57915,0.35192,1.35597,1.15638,1.17154,0.000578672,0.000578672,0.000578672
27,81.1643,1.31248,1.15164,1.08057,0.5753,0.53468,0.58586,0.35641,1.32378,1.10804,1.16148,0.000571059,0.000571059,0.000571059
28,84.1108,1.28112,1.10255,1.06702,0.58499,0.59581,0.59802,0.37411,1.30864,1.09487,1.14317,0.000563446,0.000563446,0.000563446
29,87.054,1.26886,1.10935,1.06961,0.59531,0.61307,0.60544,0.36257,1.36624,1.16233,1.1634,0.000555833,0.000555833,0.000555833
30,89.8729,1.2468,1.06824,1.04135,0.60754,0.59681,0.62095,0.38244,1.33905,1.13488,1.1654,0.00054822,0.00054822,0.00054822
31,92.7864,1.25961,1.06542,1.04255,0.57867,0.62938,0.63531,0.39265,1.30811,1.0079,1.13762,0.000540607,0.000540607,0.000540607
32,95.7552,1.27421,1.06466,1.05816,0.65351,0.58537,0.63313,0.3878,1.29089,0.98139,1.12155,0.000532994,0.000532994,0.000532994
33,98.78,1.23613,1.06948,1.04581,0.73054,0.61489,0.65125,0.40559,1.31408,1.00074,1.15118,0.000525381,0.000525381,0.000525381
34,101.783,1.27728,1.0528,1.05537,0.68972,0.61599,0.65941,0.40327,1.30645,1.03878,1.13492,0.000517768,0.000517768,0.000517768
35,104.637,1.21779,1.02915,1.04889,0.71793,0.63059,0.65241,0.40857,1.2993,1.00997,1.1252,0.000510155,0.000510155,0.000510155
36,107.552,1.22802,1.04501,1.05929,0.69521,0.65401,0.64603,0.40209,1.32508,1.00588,1.14169,0.000502541,0.000502541,0.000502541
37,110.522,1.2315,1.04809,1.06333,0.70071,0.66755,0.63885,0.39979,1.28544,0.98234,1.12982,0.000494928,0.000494928,0.000494928
38,113.442,1.17178,0.99764,1.04427,0.73383,0.66892,0.6536,0.40984,1.24003,1.00286,1.11419,0.000487315,0.000487315,0.000487315
39,116.394,1.15911,0.96767,1.02371,0.75002,0.64139,0.6789,0.43505,1.21215,0.98589,1.10533,0.000479702,0.000479702,0.000479702
40,119.345,1.16751,0.95125,1.01991,0.7283,0.64111,0.68514,0.44391,1.20665,0.94593,1.0912,0.000472089,0.000472089,0.000472089
41,122.179,1.14277,0.96031,1.01925,0.76754,0.65197,0.69709,0.44479,1.25161,0.9604,1.09578,0.000464476,0.000464476,0.000464476
42,125.262,1.14966,0.94366,1.00807,0.73669,0.65421,0.69237,0.4391,1.23365,0.97082,1.10229,0.000456863,0.000456863,0.000456863
43,128.182,1.18434,0.93167,1.00491,0.70372,0.65339,0.6874,0.43007,1.24452,0.97076,1.12331,0.00044925,0.00044925,0.00044925
44,131.059,1.13491,0.94135,0.99659,0.71932,0.64143,0.68484,0.42763,1.20712,0.95673,1.08654,0.000441637,0.000441637,0.000441637
45,133.975,1.15872,0.95739,1.00893,0.71187,0.67151,0.69602,0.4492,1.21939,0.97225,1.11013,0.000434024,0.000434024,0.000434024
46,136.958,1.15115,0.93853,1.01365,0.72753,0.69184,0.70869,0.45053,1.22975,0.96133,1.11651,0.000426411,0.000426411,0.000426411
47,139.859,1.17547,0.96555,1.03462,0.73307,0.64306,0.70826,0.45253,1.23625,0.96112,1.10453,0.000418797,0.000418797,0.000418797
48,142.854,1.13016,0.94834,1.00973,0.72925,0.64739,0.7006,0.45064,1.23914,0.93832,1.10455,0.000411184,0.000411184,0.000411184
49,145.763,1.12173,0.90856,0.9945,0.71668,0.69599,0.70529,0.45451,1.25016,0.95882,1.11152,0.000403571,0.000403571,0.000403571
50,148.675,1.15687,0.89888,1.01277,0.76062,0.6809,0.71489,0.45551,1.23019,0.93576,1.10443,0.000395958,0.000395958,0.000395958
51,151.509,1.1586,0.89893,1.01122,0.78139,0.64075,0.69808,0.45851,1.23865,0.93322,1.11186,0.000388345,0.000388345,0.000388345
52,154.38,1.09311,0.89994,0.99069,0.68107,0.7004,0.68605,0.45212,1.24118,0.93042,1.10866,0.000380732,0.000380732,0.000380732
53,157.241,1.14492,0.90158,1.0053,0.66285,0.68659,0.67783,0.44826,1.21864,0.90689,1.10109,0.000373119,0.000373119,0.000373119
54,160.069,1.09872,0.87067,1.00019,0.66829,0.66483,0.68227,0.44817,1.22241,0.898,1.10174,0.000365506,0.000365506,0.000365506
55,162.967,1.09875,0.86016,0.97961,0.68951,0.65178,0.69228,0.45547,1.21509,0.91656,1.1164,0.000357893,0.000357893,0.000357893
56,165.875,1.12296,0.88218,0.99145,0.66058,0.66389,0.69736,0.45836,1.23075,0.90091,1.1147,0.00035028,0.00035028,0.00035028
57,168.725,1.14045,0.89646,1.01316,0.65631,0.69028,0.69054,0.45289,1.23124,0.9058,1.10601,0.000342666,0.000342666,0.000342666
58,171.622,1.15496,0.87453,0.98924,0.68284,0.67898,0.69537,0.4422,1.24834,0.9441,1.11366,0.000335053,0.000335053,0.000335053
59,174.471,1.0792,0.85505,0.97805,0.69454,0.67616,0.70085,0.44547,1.25546,0.93158,1.12896,0.00032744,0.00032744,0.00032744
60,177.307,1.12342,0.88605,0.99045,0.68066,0.74489,0.70562,0.45376,1.23879,0.91267,1.11309,0.000319827,0.000319827,0.000319827
61,180.16,1.07842,0.84649,0.98278,0.75636,0.73533,0.72688,0.475,1.2218,0.88493,1.10457,0.000312214,0.000312214,0.000312214
62,183.213,1.07134,0.86832,0.99063,0.80018,0.70522,0.73872,0.48286,1.22057,0.87144,1.0883,0.000304601,0.000304601,0.000304601
