epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4247,1.75594,3.5728,1.29077,0.01552,0.10926,0.06838,0.03346,1.64235,3.52556,1.1673,0.00022301,0.00022301,0.00022301
2,25.7255,1.65129,2.05399,1.21591,0.02245,0.25639,0.14292,0.08338,1.56439,3.02051,1.24657,0.000449218,0.000449218,0.000449218
3,37.727,1.55427,1.69893,1.19011,0.69619,0.22865,0.27282,0.15575,1.51358,1.98692,1.21629,0.000670859,0.000670859,0.000670859
4,49.8135,1.49569,1.48268,1.15731,0.52614,0.40101,0.41241,0.24349,1.36975,1.58207,1.14477,0.000746161,0.000746161,0.000746161
5,61.9439,1.44463,1.32869,1.14115,0.47041,0.47127,0.49845,0.28859,1.42722,1.46154,1.15082,0.000738548,0.000738548,0.000738548
6,73.8449,1.41646,1.26149,1.123,0.56861,0.54084,0.57187,0.33967,1.38082,1.22227,1.16216,0.000730935,0.000730935,0.000730935
7,86.2402,1.38011,1.19345,1.1011,0.57418,0.59384,0.60192,0.35502,1.35088,1.07419,1.12293,0.000723321,0.000723321,0.000723321
8,98.8219,1.36882,1.15465,1.09928,0.70711,0.52491,0.62349,0.38111,1.28505,1.10653,1.12329,0.000715708,0.000715708,0.000715708
9,111.377,1.38285,1.14509,1.10608,0.68732,0.58986,0.62445,0.36969,1.40756,1.17338,1.16583,0.000708095,0.000708095,0.000708095
10,123.396,1.3104,1.10107,1.08366,0.72692,0.58933,0.66566,0.42464,1.29981,1.06418,1.11544,0.000700482,0.000700482,0.000700482
11,135.345,1.32553,1.04982,1.07907,0.73056,0.65154,0.69721,0.43238,1.297,1.02148,1.1307,0.000692869,0.000692869,0.000692869
12,147.532,1.25354,0.99096,1.0504,0.80171,0.63568,0.71065,0.45946,1.26788,0.96668,1.10489,0.000685256,0.000685256,0.000685256
13,159.572,1.25799,0.99384,1.04528,0.66151,0.67893,0.71559,0.45136,1.27402,1.00689,1.09746,0.000677643,0.000677643,0.000677643
14,171.286,1.24284,0.95492,1.03695,0.7242,0.67059,0.70924,0.43479,1.32332,0.98978,1.12547,0.00067003,0.00067003,0.00067003
15,182.974,1.22649,0.95539,1.03954,0.68537,0.70756,0.73461,0.45941,1.27489,0.93372,1.10271,0.000662417,0.000662417,0.000662417
16,194.559,1.21363,0.91397,1.02443,0.71181,0.68559,0.72254,0.45593,1.25615,0.92713,1.10597,0.000654804,0.000654804,0.000654804
17,206.395,1.19465,0.91156,1.02949,0.72676,0.71233,0.75144,0.46024,1.33327,0.90303,1.10903,0.00064719,0.00064719,0.00064719
18,218.159,1.17016,0.87583,1.01329,0.67042,0.71981,0.75712,0.47467,1.30529,0.92874,1.10666,0.000639577,0.000639577,0.000639577
19,229.864,1.16423,0.86241,1.01169,0.74334,0.72718,0.7608,0.48251,1.26114,0.91457,1.10602,0.000631964,0.000631964,0.000631964
20,242.019,1.13741,0.8476,1.00737,0.78714,0.71741,0.767,0.50468,1.20926,0.85968,1.09646,0.000624351,0.000624351,0.000624351
21,254.065,1.13602,0.83708,1.00414,0.74324,0.76804,0.7844,0.49062,1.22844,0.86176,1.08162,0.000616738,0.000616738,0.000616738
22,265.956,1.14252,0.83101,1.01113,0.79191,0.7093,0.76926,0.49289,1.21926,0.90931,1.0933,0.000609125,0.000609125,0.000609125
23,277.506,1.12283,0.79431,0.98683,0.77575,0.7624,0.76119,0.49613,1.22277,0.87775,1.0933,0.000601512,0.000601512,0.000601512
24,288.878,1.13407,0.81218,1.00221,0.67176,0.74304,0.75635,0.48055,1.24414,0.89393,1.06644,0.000593899,0.000593899,0.000593899
25,300.317,1.13208,0.80894,0.99506,0.81679,0.76297,0.79008,0.49144,1.27923,0.88895,1.10649,0.000586286,0.000586286,0.000586286
26,311.502,1.10833,0.78886,0.9883,0.81805,0.76244,0.80877,0.52017,1.24494,0.85867,1.08033,0.000578672,0.000578672,0.000578672
27,322.565,1.09316,0.77117,0.98882,0.77537,0.77138,0.78517,0.50653,1.21847,0.87238,1.07702,0.000571059,0.000571059,0.000571059
28,333.961,1.09637,0.75357,0.97582,0.8231,0.74636,0.79347,0.51059,1.19534,0.8428,1.06083,0.000563446,0.000563446,0.000563446
29,345.242,1.06649,0.73544,0.97323,0.82781,0.7537,0.78308,0.52447,1.22486,0.82508,1.08175,0.000555833,0.000555833,0.000555833
30,356.619,1.05698,0.74883,0.97816,0.8205,0.74338,0.79965,0.5057,1.21139,0.84165,1.08551,0.00054822,0.00054822,0.00054822
31,367.939,1.07987,0.7347,0.97557,0.78751,0.76075,0.79172,0.4956,1.25141,0.8343,1.09178,0.000540607,0.000540607,0.000540607
32,379.612,1.0565,0.72716,0.96898,0.84449,0.78887,0.82146,0.53159,1.19849,0.8105,1.05551,0.000532994,0.000532994,0.000532994
33,391.443,1.02733,0.70784,0.95754,0.82989,0.75334,0.82869,0.53217,1.20208,0.82543,1.04883,0.000525381,0.000525381,0.000525381
34,403.388,1.03715,0.70587,0.95934,0.84677,0.77838,0.81935,0.5361,1.23295,0.841,1.08375,0.000517768,0.000517768,0.000517768
35,414.775,1.03117,0.70136,0.95982,0.86891,0.7659,0.82479,0.53446,1.19758,0.82202,1.06991,0.000510155,0.000510155,0.000510155
36,426.349,1.0279,0.69694,0.95452,0.78476,0.77945,0.80535,0.52492,1.26703,0.85545,1.1127,0.000502541,0.000502541,0.000502541
37,437.617,1.01812,0.69216,0.9536,0.83697,0.77442,0.81061,0.5307,1.21267,0.85521,1.07397,0.000494928,0.000494928,0.000494928
38,449.012,1.00688,0.68407,0.95452,0.83912,0.78412,0.82178,0.54398,1.20121,0.8359,1.08023,0.000487315,0.000487315,0.000487315
39,460.305,1.00313,0.67859,0.94842,0.89387,0.74161,0.82504,0.53917,1.18833,0.84487,1.0741,0.000479702,0.000479702,0.000479702
40,471.538,0.98334,0.66361,0.95355,0.84838,0.77634,0.82128,0.5257,1.24409,0.84544,1.07733,0.000472089,0.000472089,0.000472089
41,482.917,0.98614,0.66403,0.9433,0.83056,0.81242,0.82586,0.52841,1.2318,0.80156,1.10216,0.000464476,0.000464476,0.000464476
42,494.176,0.99588,0.67165,0.95013,0.83294,0.77528,0.82881,0.53956,1.21557,0.81947,1.08599,0.000456863,0.000456863,0.000456863
43,505.382,0.97802,0.66078,0.94679,0.85731,0.79237,0.82823,0.54248,1.2355,0.8473,1.09363,0.00044925,0.00044925,0.00044925
44,516.858,0.9867,0.65749,0.94098,0.8361,0.79255,0.81591,0.52444,1.25321,0.86117,1.12264,0.000441637,0.000441637,0.000441637
45,528.295,0.97871,0.65701,0.94133,0.86151,0.80321,0.8238,0.53117,1.21992,0.81793,1.07842,0.000434024,0.000434024,0.000434024
46,540.04,0.93161,0.6296,0.93036,0.89439,0.80532,0.83577,0.5387,1.24854,0.81053,1.10007,0.000426411,0.000426411,0.000426411
47,552.509,0.93474,0.62515,0.93126,0.82029,0.81591,0.82985,0.53665,1.22676,0.7998,1.08912,0.000418797,0.000418797,0.000418797
48,565.114,0.95461,0.62914,0.93685,0.80802,0.78784,0.83672,0.5331,1.20738,0.77602,1.07117,0.000411184,0.000411184,0.000411184
49,576.59,0.96564,0.63421,0.93936,0.81958,0.78809,0.82355,0.52542,1.23202,0.81554,1.08471,0.000403571,0.000403571,0.000403571
50,588.412,0.97407,0.6251,0.9362,0.78795,0.80949,0.8233,0.53398,1.21002,0.8168,1.0667,0.000395958,0.000395958,0.000395958
51,599.627,0.96042,0.61786,0.9351,0.81221,0.80338,0.82863,0.5423,1.22128,0.80538,1.08621,0.000388345,0.000388345,0.000388345
52,611.207,0.93532,0.61275,0.92039,0.84438,0.78657,0.81946,0.53378,1.21819,0.82992,1.07225,0.000380732,0.000380732,0.000380732
53,622.418,0.92762,0.61545,0.93396,0.86149,0.76404,0.81944,0.5218,1.22998,0.80704,1.07526,0.000373119,0.000373119,0.000373119
54,633.711,0.92648,0.60419,0.93219,0.86478,0.78928,0.84155,0.53274,1.22924,0.77928,1.08241,0.000365506,0.000365506,0.000365506
55,645.035,0.91352,0.60158,0.92312,0.85752,0.7723,0.83633,0.55004,1.20259,0.78702,1.07769,0.000357893,0.000357893,0.000357893
56,656.266,0.91756,0.60651,0.92598,0.80651,0.81101,0.81189,0.53831,1.21918,0.81466,1.07739,0.00035028,0.00035028,0.00035028
57,667.559,0.9123,0.59737,0.9221,0.79208,0.80577,0.80915,0.5317,1.23128,0.82484,1.08464,0.000342666,0.000342666,0.000342666
58,678.652,0.90273,0.59432,0.92472,0.81267,0.82887,0.83571,0.53777,1.21179,0.78372,1.07591,0.000335053,0.000335053,0.000335053
59,689.896,0.91028,0.59209,0.92323,0.84103,0.80107,0.82579,0.53646,1.23886,0.80252,1.09703,0.00032744,0.00032744,0.00032744
60,701.339,0.87787,0.5807,0.91305,0.84214,0.81217,0.83585,0.54837,1.24228,0.76901,1.09968,0.000319827,0.000319827,0.000319827
61,712.758,0.91337,0.58908,0.92285,0.83996,0.78954,0.82574,0.53552,1.20327,0.77732,1.07675,0.000312214,0.000312214,0.000312214
62,724.21,0.9023,0.58808,0.92946,0.85271,0.78698,0.82593,0.55244,1.21739,0.7964,1.083,0.000304601,0.000304601,0.000304601
63,735.456,0.87569,0.57441,0.91819,0.86963,0.78067,0.83724,0.5519,1.18035,0.77343,1.07027,0.000296988,0.000296988,0.000296988
64,746.905,0.87684,0.57228,0.91337,0.86885,0.76965,0.82426,0.54757,1.18946,0.79757,1.07354,0.000289375,0.000289375,0.000289375
65,758.717,0.86846,0.57013,0.91174,0.86942,0.7959,0.84067,0.55813,1.1974,0.77383,1.06537,0.000281762,0.000281762,0.000281762
66,774.845,0.85584,0.5662,0.91146,0.82936,0.8029,0.83997,0.52752,1.24783,0.78782,1.0894,0.000274148,0.000274148,0.000274148
67,790.92,0.89047,0.57788,0.9158,0.86779,0.78823,0.83975,0.53359,1.238,0.78054,1.09188,0.000266535,0.000266535,0.000266535
68,807.207,0.87049,0.5621,0.90915,0.90055,0.7669,0.84098,0.54889,1.23167,0.80251,1.09034,0.000258922,0.000258922,0.000258922
69,823.4,0.87628,0.56534,0.90912,0.82881,0.8139,0.83819,0.55187,1.26241,0.8113,1.12144,0.000251309,0.000251309,0.000251309
70,840.293,0.89085,0.57435,0.91751,0.87631,0.81141,0.84554,0.55367,1.22119,0.77645,1.09681,0.000243696,0.000243696,0.000243696
